Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Uganda,UGA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.7,データセット1,データセット2
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,37600368241.6657,,データセット2
Ukraine,UKR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.1,データセット1,データセット2
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,156617722013.342,,データセット2
United Arab Emirates,ARE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,349473015336.939,,データセット2
United Kingdom,GBR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2696778386607.65,,データセット2
United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,21354105000000,,データセット2
Upper middle income,UMC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.8536398390472,データセット1,データセット2
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,22976120181600.3,,データセット2
Uruguay,URY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,53668636567.8667,,データセット2
Uzbekistan,UZB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80.1,データセット1,データセット2
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,66443265418.3086,,データセット2
Vanuatu,VUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.1,データセット1,データセット2
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,909421043.508407,,データセット2
"Venezuela, RB",VEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.5,データセット1,データセット2
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
Viet Nam,VNM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,96,データセット1,データセット2
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,346615738537.796,,データセット2
Virgin Islands (U.S.),VIR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4229000000,,データセット2
West Bank and Gaza,PSE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,15531700000,,データセット2
World,WLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,71.1448297498473,データセット1,データセット2
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,85763013427792.9,,データセット2
"Yemen, Rep.",YEM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,51.2,データセット1,データセット2
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
