,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
104,C,A,20210101,2021,52,2021,124,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,68559619546.811,68559619546.811,0,False,True
110,C,A,20220101,2022,52,2022,124,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,76991873836.818,76991873836.818,0,False,True
116,C,A,20230101,2023,52,2023,124,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,,66082873036.096,66082873036.096,0,False,True
122,C,A,20100101,2010,52,2010,208,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,6426366383.0,,6426366383.0,0,True,False
123,C,A,20110101,2011,52,2011,208,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,6720217637.0,,6720217637.0,0,True,False
124,C,A,20120101,2012,52,2012,208,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,6405169702.0,,6405169702.0,0,True,False
125,C,A,20130101,2013,52,2013,208,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,6573974542.0,,6573974542.0,0,True,False
126,C,A,20140101,2014,52,2014,208,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,7113521257.0,,7113521257.0,0,True,False
127,C,A,20150101,2015,52,2015,208,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,6375315508.0,,6375315508.0,0,True,False
128,C,A,20160101,2016,52,2016,208,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,6435820180.032,,6435820180.032,0,False,True
129,C,A,20170101,2017,52,2017,208,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,6725374194.574,,6725374194.574,4,False,True
130,C,A,20180101,2018,52,2018,208,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7197566422.049,0.0,7197566422.049,4,False,True
131,C,A,20190101,2019,52,2019,208,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7030520269.719,0.0,7030520269.719,4,False,True
132,C,A,20200101,2020,52,2020,208,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7534800891.89,0.0,7534800891.89,4,False,True
133,C,A,20210101,2021,52,2021,208,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,9799627671.989,,9799627671.989,4,False,True
134,C,A,20220101,2022,52,2022,208,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,10643508194.11,,10643508194.11,4,False,True
135,C,A,20230101,2023,52,2023,208,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7766787182.912,,7766787182.912,4,False,True
136,C,A,20100101,2010,52,2010,233,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,921924050.0,,921924050.0,0,True,False
137,C,A,20110101,2011,52,2011,233,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1419981000.0,,1419981000.0,0,True,False
138,C,A,20120101,2012,52,2012,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1412968586.0,,1412968586.0,0,True,False
139,C,A,20130101,2013,52,2013,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1465546691.0,,1465546691.0,0,True,False
140,C,A,20140101,2014,52,2014,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1506153282.0,,1506153282.0,0,True,False
141,C,A,20150101,2015,52,2015,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1262875980.0,,1262875980.0,0,True,False
142,C,A,20160101,2016,52,2016,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1300507299.221,,1300507299.221,0,False,True
149,C,A,20160101,2016,52,2016,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C01,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1019686986.592,,1019686986.592,0,False,True
156,C,A,20160101,2016,52,2016,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C06,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,17974607.061,,17974607.061,0,False,True
161,C,A,20160101,2016,52,2016,233,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C20,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,262845705.568,,262845705.568,0,False,True
167,C,A,20170101,2017,52,2017,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1476718402.02,,1476718402.02,0,False,True
174,C,A,20170101,2017,52,2017,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C01,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1211861252.396,,1211861252.396,0,False,True
181,C,A,20170101,2017,52,2017,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C06,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,22998854.783,,22998854.783,0,False,True
187,C,A,20170101,2017,52,2017,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C20,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,241858294.842,,241858294.842,0,False,True
192,C,A,20180101,2018,52,2018,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1669652210.489,0.0,1669652210.489,4,False,True
199,C,A,20180101,2018,52,2018,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C01,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,1388224010.308,0.0,1388224010.308,4,False,True
206,C,A,20180101,2018,52,2018,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,260513937.185,0.0,260513937.185,4,False,True
212,C,A,20180101,2018,52,2018,233,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C06,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,20912903.642,0.0,20912903.642,4,False,True
