country,date,UN_rGDP,WDI_rGDP,COM
JPN,2014,529510009.6231806,529920445.0107746,219146300.0
JPN,2014,529510009.6231806,529920445.0107746,387131.859
JPN,2014,529510009.6231806,529920445.0107746,2214600.0
JPN,2014,529510009.6231806,529920445.0107746,55057700.0
JPN,2014,529510009.6231806,529920445.0107746,12758800.0
JPN,2014,529510009.6231806,529920445.0107746,577721.709
JPN,2014,529510009.6231806,529920445.0107746,356017.537
JPN,2014,529510009.6231806,529920445.0107746,90039.357
JPN,2014,529510009.6231806,529920445.0107746,10741600.0
JPN,2014,529510009.6231806,529920445.0107746,481996.371
JPN,2014,529510009.6231806,529920445.0107746,2109591.41
JPN,2014,529510009.6231806,529920445.0107746,361148.512
JPN,2014,529510009.6231806,529920445.0107746,61206600.0
JPN,2014,529510009.6231806,529920445.0107746,184600.0
JPN,2014,529510009.6231806,529920445.0107746,9539200.0
JPN,2014,529510009.6231806,529920445.0107746,1742.417
JPN,2014,529510009.6231806,529920445.0107746,54537900.0
JPN,2014,529510009.6231806,529920445.0107746,3296400.0
JPN,2014,529510009.6231806,529920445.0107746,3720400.0
JPN,2014,529510009.6231806,529920445.0107746,20903.342
JPN,2014,529510009.6231806,529920445.0107746,223500200.0
JPN,2014,529510009.6231806,529920445.0107746,38261800.0
JPN,2014,529510009.6231806,529920445.0107746,4896994.405
JPN,2014,529510009.6231806,529920445.0107746,37718200.0
JPN,2014,529510009.6231806,529920445.0107746,101388.666
JPN,2014,529510009.6231806,529920445.0107746,2429643.041
JPN,2014,529510009.6231806,529920445.0107746,31114.322
JPN,2014,529510009.6231806,529920445.0107746,2068495.473
JPN,2014,529510009.6231806,529920445.0107746,519682.985
JPN,2014,529510009.6231806,529920445.0107746,518811000.0
JPN,2014,529510009.6231806,529920445.0107746,261321.98
JPN,2014,529510009.6231806,529920445.0107746,19945600.0
JPN,2014,529510009.6231806,529920445.0107746,35116.407
JPN,2013,527946203.85620517,528355427.1014284,27330000.0
JPN,2013,527946203.85620517,528355427.1014284,197496.491
JPN,2013,527946203.85620517,528355427.1014284,36594000.0
JPN,2013,527946203.85620517,528355427.1014284,131677.989
JPN,2013,527946203.85620517,528355427.1014284,253202100.0
JPN,2013,527946203.85620517,528355427.1014284,544843.909
JPN,2013,527946203.85620517,528355427.1014284,49723600.0
JPN,2013,527946203.85620517,528355427.1014284,216136200.0
JPN,2013,527946203.85620517,528355427.1014284,374955.204
JPN,2013,527946203.85620517,528355427.1014284,2081300.0
JPN,2013,527946203.85620517,528355427.1014284,54041400.0
JPN,2013,527946203.85620517,528355427.1014284,12851200.0
JPN,2013,527946203.85620517,528355427.1014284,623305.392
JPN,2013,527946203.85620517,528355427.1014284,339624.739
JPN,2013,527946203.85620517,528355427.1014284,103463.619
JPN,2013,527946203.85620517,528355427.1014284,10088400.0
JPN,2013,527946203.85620517,528355427.1014284,509485.779
JPN,2013,527946203.85620517,528355427.1014284,2279948.759
JPN,2013,527946203.85620517,528355427.1014284,379790.46
JPN,2013,527946203.85620517,528355427.1014284,60831900.0
JPN,2013,527946203.85620517,528355427.1014284,-160600.0
JPN,2013,527946203.85620517,528355427.1014284,10097600.0
JPN,2013,527946203.85620517,528355427.1014284,-1645.565
JPN,2013,527946203.85620517,528355427.1014284,53174400.0
