country,ISO3,year,gdp_per_capita
Indonesia,IDN,2016,11319.6634287738
Indonesia,IDN,2017,11772.5743296107
Indonesia,IDN,2018,12262.2310300771
Indonesia,IDN,2019,12757.7850854842
Indonesia,IDN,2020,12388.5449268131
Indonesia,IDN,2021,12757.0746440204
Indonesia,IDN,2022,13334.293520304
Indonesia,IDN,2023,13889.8828825663
India,IND,2000,3099.5028215766
India,IND,2001,3188.81024020636
India,IND,2002,3250.69565544917
India,IND,2003,3445.92592352395
India,IND,2004,3656.12620652098
India,IND,2005,3881.9661798273
India,IND,2006,4129.77837009239
India,IND,2007,4379.69604361151
India,IND,2008,4450.39022919238
India,IND,2009,4731.36160463896
India,IND,2010,5059.2827108398
India,IND,2011,5249.54925694026
India,IND,2012,5460.43768570052
India,IND,2013,5732.24189090876
India,IND,2014,6079.84393523695
India,IND,2015,6488.14602910787
India,IND,2016,6940.62588857522
India,IND,2017,7326.60693679859
India,IND,2018,7714.33974724531
India,IND,2019,7930.0911303899
India,IND,2020,7399.53068079041
India,IND,2021,8050.01857452664
India,IND,2022,8544.68888383182
India,IND,2023,9160.06365370888
Ireland,IRL,2000,53744.5426721978
Ireland,IRL,2001,55702.171512169
Ireland,IRL,2002,58002.5356733579
Ireland,IRL,2003,58785.2144560051
Ireland,IRL,2004,61638.3291331961
Ireland,IRL,2005,63771.5954977053
Ireland,IRL,2006,65171.5035288689
Ireland,IRL,2007,66676.4632500485
Ireland,IRL,2008,62401.4050446356
Ireland,IRL,2009,58623.1182256825
Ireland,IRL,2010,59285.8082895976
Ireland,IRL,2011,60001.0777417458
Ireland,IRL,2012,59508.9967534594
Ireland,IRL,2013,60494.1626974676
Ireland,IRL,2014,65660.1826902822
Ireland,IRL,2015,81053.3527369241
Ireland,IRL,2016,81123.4055417881
Ireland,IRL,2017,88309.3518073886
Ireland,IRL,2018,93802.3882103535
Ireland,IRL,2019,97192.1872016171
Ireland,IRL,2020,103082.792429507
Ireland,IRL,2021,118701.844040248
Ireland,IRL,2022,125625.319755241
Ireland,IRL,2023,115505.338456686
"Iran, Islamic Rep.",IRN,2000,10908.2929308945
"Iran, Islamic Rep.",IRN,2001,10998.1285086842
"Iran, Islamic Rep.",IRN,2002,11788.8950217415
"Iran, Islamic Rep.",IRN,2003,12666.2011613517
"Iran, Islamic Rep.",IRN,2004,12935.7859087138
"Iran, Islamic Rep.",IRN,2005,13056.2499373752
"Iran, Islamic Rep.",IRN,2006,13416.8415056781
"Iran, Islamic Rep.",IRN,2007,14275.7487984834
"Iran, Islamic Rep.",IRN,2008,14138.8010468136
"Iran, Islamic Rep.",IRN,2009,14104.9783035628
"Iran, Islamic Rep.",IRN,2010,14737.1558480906
"Iran, Islamic Rep.",IRN,2011,14941.2594887409
"Iran, Islamic Rep.",IRN,2012,14202.5507641889
"Iran, Islamic Rep.",IRN,2013,13804.7912969754
"Iran, Islamic Rep.",IRN,2014,14299.5717729808
"Iran, Islamic Rep.",IRN,2015,13905.1921172487
"Iran, Islamic Rep.",IRN,2016,14915.5941209299
"Iran, Islamic Rep.",IRN,2017,15108.1094121896
"Iran, Islamic Rep.",IRN,2018,14642.4975713628
"Iran, Islamic Rep.",IRN,2019,14040.6646532072
"Iran, Islamic Rep.",IRN,2020,14397.1535705748
"Iran, Islamic Rep.",IRN,2021,14951.8948716503
"Iran, Islamic Rep.",IRN,2022,15331.3329400419
"Iran, Islamic Rep.",IRN,2023,15912.0299184195
Iraq,IRQ,2000,12702.1641950892
Iraq,IRQ,2001,12529.6084050976
Iraq,IRQ,2002,11144.0505255902
Iraq,IRQ,2003,6849.3320080035
Iraq,IRQ,2004,10210.5631004936
Iraq,IRQ,2005,10078.4437646814
Iraq,IRQ,2006,10568.9137652953
Iraq,IRQ,2007,10853.8161022286
Iraq,IRQ,2008,11511.9387643638
Iraq,IRQ,2009,11470.5178061728
Iraq,IRQ,2010,11816.8410150233
Iraq,IRQ,2011,12267.5848940645
Iraq,IRQ,2012,13357.0143882323
Iraq,IRQ,2013,13712.931714296
Iraq,IRQ,2014,13536.8227681399
Iraq,IRQ,2015,13516.0271989173
Iraq,IRQ,2016,15016.0920644557
Iraq,IRQ,2017,14417.6306896454
Iraq,IRQ,2018,14456.2357053191
Iraq,IRQ,2019,14910.2250318827
Iraq,IRQ,2020,12827.6345392293
Iraq,IRQ,2021,12731.7535755128
Iraq,IRQ,2022,13393.6749428104
Iraq,IRQ,2023,12711.0616746745
Jordan,JOR,2000,8086.92215795305
Jordan,JOR,2001,8339.78594962647
Jordan,JOR,2002,8638.0804707775
Jordan,JOR,2003,8800.49688909923
Jordan,JOR,2004,9326.66854241318
Jordan,JOR,2005,9839.68850913446
Jordan,JOR,2006,9977.75919497734
Jordan,JOR,2007,10161.4022840707
Jordan,JOR,2008,10641.5895979974
Jordan,JOR,2009,10938.5029017232
Jordan,JOR,2010,10953.5378091936
Jordan,JOR,2011,10977.4822229714
Jordan,JOR,2012,11086.0301240431
Jordan,JOR,2013,10799.353989331
Jordan,JOR,2014,10148.9982632195
Jordan,JOR,2015,9581.6893809446
Jordan,JOR,2016,9321.9046623721
Jordan,JOR,2017,9339.81054860678
Jordan,JOR,2018,9311.53131354454
Jordan,JOR,2019,9288.5272415511
Jordan,JOR,2020,9022.63944977504
Jordan,JOR,2021,9182.49616125602
Jordan,JOR,2022,9266.57547415865
Jordan,JOR,2023,9362.58776056423
Japan,JPN,2000,39014.2110212917
Japan,JPN,2001,39070.5911170118
Japan,JPN,2002,38996.2038318537
Japan,JPN,2003,39510.2096602084
